order_date,ship_date,platform,category,product_name,quantity,campaign,voucher_code,discount_pct,discount_value,shipping_cost,net_sales,payment_method,customer_segment,region,stock_status,order_status,customer_rating,priority_flag,is_high_value,order_priority,valid_transaction
04/04/2024,2024/04/12,TIKTOK SHOP,FASHION,WOMEN DRESS,3,MEGA CAMPAIGN,DISC20,20.0,321418,0,1285670,E-WALLET,RETURNING,MAKASSAR,IN STOCK,COMPLETED,4,PRIORITY,YES,HIGH,VALID
2024-06-01,06/06/2024,SHOPEE,ELECTRONICS,WIRELESS EARBUDS,1,FLASH SALE,DISC10,10.0,140997,18000,1268975,E-WALLET,RETURNING,BEKASI,LOW STOCK,COMPLETED,4,NO,YES,HIGH,VALID
06-15-2024,2024-06-19,SHOPEE,FASHION,MEN T-SHIRT,4,NORMAL DAY,NONE,0.0,RP 0,0,2010548,CREDIT CARD,RETURNING,SURABAYA,LOW STOCK,COMPLETED,5,NO,YES,HIGH,VALID
2024/05/28,02/06/2024,BLIBLI,HOME LIVING,BLENDER,3,CLEARANCE,CLEAR30,30.0,457109,15000,1066588,CREDIT CARD,NEW,JAKARTA,LOW STOCK,COMPLETED,5,NORMAL,YES,HIGH,VALID
2024/11/18,20/11/2024,TIKTOK SHOP,BEAUTY,BODY LOTION,2,FLASH SALE,DISC10,10.0,35674,15000,321062,VIRTUAL ACCOUNT,NEW,YOGYAKARTA,IN STOCK,COMPLETED,4,NO,NO,LOW,VALID
10-23-2024,2024/10/24,SHOPEE,SPORTS,DUMBBELL 5KG,1,PAYDAY SALE,DISC15,15.0,80945,25000,458691,TRANSFER BANK,NEW,SEMARANG,IN STOCK,COMPLETED,4,NO,NO,LOW,VALID
07-07-2024,2024-07-14,TOKOPEDIA,FASHION,SNEAKERS,3,PAYDAY SALE,DISC15,15.0,85921,0,486887,UNKNOWN,RETURNING,BEKASI,IN STOCK,COMPLETED,5,NO,NO,LOW,VALID
2024-01-20,01-24-2024,TIKTOK SHOP,SPORTS,YOGA MAT,5,FLASH SALE,DISC10,10.0,224925,25000,2024325,VA,RETURNING,SURABAYA,IN STOCK,COMPLETED,4,NORMAL,YES,HIGH,VALID
04-21-2024,2024/04/27,SHOPEE,BEAUTY,LIP TINT,3,NORMAL DAY,NONE,0.0,0,25000,574098,VIRTUAL ACCOUNT,RETURNING,MAKASSAR,IN STOCK,COMPLETED,5,NO,NO,MEDIUM,VALID
25/12/2024,2024/12/31,TOKOPEDIA,BEAUTY,SUNSCREEN,3,NORMAL DAY,NONE,0.0,0,25000,982674,E-WALLET,RETURNING,SEMARANG,IN STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
03-09-2024,2024/03/31,TOKOPEDIA,HOME LIVING,BLENDER,5,MEGA CAMPAIGN,DISC20,20.0,1037398,18000,0,E-WALLET,RETURNING,YOGYAKARTA,IN STOCK,CANCEL,5,Y,NO,LOW,VALID
17/05/2024,2024/05/20,LAZADA,SPORTS,DUMBBELL 5KG,1,NORMAL DAY,NONE,0.0,0,0,662214,TRANSFER BANK,VIP,YOGYAKARTA,LOW STOCK,COMPLETED,3,PRIORITY,NO,MEDIUM,VALID
2024/06/30,2024/07/01,TIKTOK SHOP,HOME LIVING,STORAGE BOX,1,PAYDAY SALE,DISC15,15.0,50808,0,287912,COD,RETURNING,SURABAYA,IN STOCK,COMPLETED,3,NORMAL,NO,LOW,VALID
04-30-2024,2024-05-01,LAZADA,BEAUTY,FACE WASH,2,NORMAL DAY,NONE,0.0,0,0,440002,COD,RETURNING,YOGYAKARTA,IN STOCK,COMPLETED,4,NO,NO,LOW,VALID
18/04/2024,2024/04/23,SHOPEE,BEAUTY,SUNSCREEN,3,PAYDAY SALE,DISC15,15.0,154150,0,873518,TRANSFER BANK,VIP,YOGYAKARTA,IN STOCK,COMPLETED,5,YES,NO,MEDIUM,VALID
2024-12-12,2024/12/19,BLIBLI,ELECTRONICS,BLUETOOTH SPEAKER,1,CLEARANCE,CLEAR30,30.0,288890,20000,674077,E-WALLET,NEW,JAKARTA,IN STOCK,COMPLETED,4,NORMAL,NO,MEDIUM,VALID
2024-03-24,31/03/2024,SHOPEE,ELECTRONICS,BLUETOOTH SPEAKER,3,MEGA CAMPAIGN,DISC20,20.0,561576,18000,2246304,BANK TRANSFER,RETURNING,JAKARTA,IN STOCK,COMPLETED,5,YES,YES,HIGH,VALID
10-04-2024,2024/10/06,TIKTOK SHOP,BEAUTY,BODY LOTION,4,NORMAL DAY,NONE,0.0,0,9000,416864,EWALLET,RETURNING,JAKARTA,LOW STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
30/08/2024,2024/09/02,SHOPEE,HOME LIVING,STORAGE BOX,4,NORMAL DAY,NONE,0.0,0,12000,2069816,CREDIT CARD,RETURNING,SEMARANG,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
29/09/2024,2024/10/01,TIKTOK SHOP,SPORTS,DUMBBELL 5KG,4,NORMAL DAY,NONE,0.0,0,15000,1817540,VIRTUAL ACCOUNT,VIP,BANDUNG,IN STOCK,COMPLETED,4,PRIORITY,YES,HIGH,VALID
13/09/2024,09-20-2024,TIKTOK SHOP,HOME LIVING,TABLE LAMP,5,NORMAL DAY,NONE,0.0,0,12000,363035,TRANSFER BANK,RETURNING,BEKASI,IN STOCK,COMPLETED,4,NO,NO,LOW,VALID
25/02/2024,2024/03/03,TIKTOK SHOP,SPORTS,SKIPPING ROPE,3,MEGA CAMPAIGN,DISC20,20.0,292679,18000,1170715,VIRTUAL ACCOUNT,RETURNING,YOGYAKARTA,LOW STOCK,COMPLETED,4,N,YES,HIGH,VALID
11/10/2024,14/10/2024,LAZADA,BEAUTY,SUNSCREEN,4,FLASH SALE,DISC10,10.0,47855,20000,430693,VA,RETURNING,YOGYAKARTA,IN STOCK,COMPLETED,5,N,NO,LOW,VALID
2024/06/30,2024/03/31,SHOPEE,ELECTRONICS,POWER BANK,6,NORMAL DAY,NONE,0.0,0,9000,0,TRANSFER BANK,VIP,YOGYAKARTA,LOW STOCK,CANCEL,5,PRIORITY,NO,LOW,VALID
2024/02/06,02-08-2024,TOKOPEDIA,BEAUTY,SUNSCREEN,1,CLEARANCE,CLEAR30,30.0,10924,0,25491,COD,RETURNING,JAKARTA,IN STOCK,COMPLETED,4,NO,NO,LOW,VALID
2024/05/21,2024-05-22,LAZADA,FASHION,WOMEN DRESS,3,NORMAL DAY,NONE,0.0,0,25000,998487,TRANSFER BANK,RETURNING,SEMARANG,IN STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
2024/01/25,2024-02-01,TIKTOK SHOP,BEAUTY,LIP TINT,1,NORMAL DAY,NONE,0.0,0,0,80124,TRANSFER BANK,NEW,SURABAYA,IN STOCK,SHIPPED,5,N,NO,LOW,VALID
31/08/2024,09-01-2024,SHOPEE,FASHION,MEN T-SHIRT,2,NORMAL DAY,NONE,0.0,0,18000,590874,VIRTUAL ACCOUNT,NEW,YOGYAKARTA,IN STOCK,COMPLETED,4,NORMAL,NO,MEDIUM,VALID
2024/06/09,2024-06-12,SHOPEE,BEAUTY,SUNSCREEN,1,MEGA CAMPAIGN,DISC20,20.0,21602,15000,86410,COD,RETURNING,SEMARANG,IN STOCK,SHIPPED,5,NO,NO,LOW,VALID
01-25-2024,2024/01/30,BLIBLI,BEAUTY,FACE WASH,3,MEGA CAMPAIGN,DISC20,20.0,130192,18000,520766,E-WALLET,RETURNING,MAKASSAR,IN STOCK,COMPLETED,5,NO,NO,MEDIUM,VALID
2024-02-23,27/02/2024,TOKOPEDIA,SPORTS,DUMBBELL 5KG,8,NORMAL DAY,NONE,0.0,0,0,1989320,COD,RETURNING,JAKARTA,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
04-17-2024,23/04/2024,SHOPEE,HOME LIVING,VACUUM CLEANER,2,CLEARANCE,CLEAR30,30.0,474784,0,1107828,E WALLET,NEW,SEMARANG,IN STOCK,ON DELIVERY,5,NORMAL,YES,HIGH,VALID
2024-02-03,2024/02/10,SHOPEE,SPORTS,DUMBBELL 5KG,2,FLASH SALE,DISC10,10.0,117698,20000,1059280,COD,RETURNING,YOGYAKARTA,IN STOCK,COMPLETED,4,N,YES,HIGH,VALID
01-04-2024,11/01/2024,TOKOPEDIA,SPORTS,YOGA MAT,3,PAYDAY SALE,DISC15,15.0,390136,12000,2210774,VIRTUAL ACCOUNT,RETURNING,BEKASI,IN STOCK,COMPLETED,5,NORMAL,YES,HIGH,VALID
2024/11/09,2024/03/31,TOKOPEDIA,HOME LIVING,STORAGE BOX,4,NORMAL DAY,NONE,0.0,0,0,0,E-WALLET,RETURNING,BEKASI,IN STOCK,CANCELLED,5,NORMAL,NO,LOW,INVALID
2024/01/10,01-16-2024,LAZADA,BEAUTY,BODY LOTION,4,NORMAL DAY,NONE,0.0,0,0,649360,VIRTUAL ACCOUNT,RETURNING,MAKASSAR,IN STOCK,COMPLETED,5,NO,NO,MEDIUM,VALID
2024/06/18,2024-06-23,BLIBLI,SPORTS,SKIPPING ROPE,1,NORMAL DAY,NONE,0.0,0,0,449611,COD,NEW,BANDUNG,LOW STOCK,COMPLETED,3,NORMAL,NO,LOW,VALID
09-20-2024,09-22-2024,TOKOPEDIA,BEAUTY,SUNSCREEN,1,CLEARANCE,CLEAR30,30.0,RP 60.808,20000,141885,E-WALLET,RETURNING,SEMARANG,IN STOCK,COMPLETED,4,NORMAL,NO,LOW,VALID
06-01-2024,2024/06/08,SHOPEE,ELECTRONICS,PHONE CHARGER,1,CLEARANCE,CLEAR30,30.0,128834,20000,300612,VIRTUAL ACCOUNT,RETURNING,JAKARTA,IN STOCK,COMPLETED,5,NO,NO,LOW,VALID
2024-12-13,2024-12-16,LAZADA,HOME LIVING,VACUUM CLEANER,1,NORMAL DAY,NONE,0.0,0,9000,1083784,E-WALLET,VIP,SEMARANG,IN STOCK,COMPLETED,5,YES,YES,HIGH,VALID
01/08/2024,2024/08/03,TIKTOK SHOP,BEAUTY,FACE WASH,4,NORMAL DAY,NONE,0.0,0,12000,336108,COD,VIP,SEMARANG,IN STOCK,COMPLETED,5,Y,NO,LOW,VALID
30/01/2024,2024/02/05,LAZADA,FASHION,JEANS,2,CLEARANCE,CLEAR30,30.0,105082,25000,245192,CREDIT CARD,NEW,BANDUNG,IN STOCK,COMPLETED,3,NO,NO,LOW,VALID
2024/01/16,21/01/2024,SHOPEE,SPORTS,YOGA MAT,1,FLASH SALE,DISC10,10.0,68497,12000,616469,CREDIT CARD,VIP,BEKASI,IN STOCK,COMPLETED,5,YES,NO,MEDIUM,VALID
02-27-2024,29/02/2024,BLIBLI,FASHION,HOODIE,3,NORMAL DAY,NONE,0.0,0,9000,1214139,COD,NEW,SURABAYA,LOW STOCK,COMPLETED,5,NORMAL,YES,HIGH,VALID
2024-05-23,05-24-2024,TOKOPEDIA,HOME LIVING,BLENDER,1,NORMAL DAY,NONE,0.0,0,0,182580,CREDIT CARD,NEW,SEMARANG,IN STOCK,COMPLETED,3,NO,NO,LOW,VALID
2024/10/14,15/10/2024,SHOPEE,BEAUTY,FACE WASH,3,NORMAL DAY,NONE,0.0,0,15000,983658,E-WALLET,NEW,SURABAYA,PREORDER,COMPLETED,5,N,NO,MEDIUM,VALID
2024-04-12,2024/04/14,BLIBLI,BEAUTY,BODY LOTION,2,NORMAL DAY,NONE,0.0,0,20000,679876,CREDIT CARD,VIP,SURABAYA,IN STOCK,COMPLETED,5,YES,NO,MEDIUM,VALID
2024-12-27,2025/01/01,LAZADA,HOME LIVING,BLENDER,1,NORMAL DAY,NONE,0.0,0,9000,389308,E-WALLET,RETURNING,SURABAYA,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
2024-11-29,2024-12-04,TIKTOK SHOP,FASHION,MEN T-SHIRT,1,PAYDAY SALE,DISC15,15.0,32322,25000,183161,CREDIT CARD,NEW,SEMARANG,IN STOCK,COMPLETED,4,NORMAL,NO,LOW,VALID
05-11-2024,2024-05-12,TOKOPEDIA,SPORTS,RUNNING SHOES,3,NORMAL DAY,NONE,0.0,0,15000,1521600,VIRTUAL ACCOUNT,VIP,JAKARTA,IN STOCK,COMPLETED,4,Y,YES,HIGH,VALID
2024/08/31,09-04-2024,BLIBLI,HOME LIVING,STORAGE BOX,3,MEGA CAMPAIGN,DISC20,20.0,61485,25000,245940,CREDIT CARD,NEW,MAKASSAR,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
2024/01/05,01-07-2024,BLIBLI,BEAUTY,FACE WASH,2,MEGA CAMPAIGN,DISC20,20.0,78031,25000,312125,COD,NEW,JAKARTA,IN STOCK,SHIPPED,5,N,NO,LOW,VALID
24/08/2024,30/08/2024,BLIBLI,SPORTS,CYCLING GLOVES,1,CLEARANCE,CLEAR30,30.0,265370,12000,619196,CREDIT CARD,NEW,MAKASSAR,IN STOCK,COMPLETED,3,NORMAL,NO,MEDIUM,VALID
06-15-2024,2024-06-21,LAZADA,SPORTS,CYCLING GLOVES,3,NORMAL DAY,NONE,0.0,0,9000,597789,VIRTUAL ACCOUNT,RETURNING,SURABAYA,LOW STOCK,COMPLETED,5,NORMAL,NO,MEDIUM,VALID
2024/01/27,01-29-2024,TIKTOK SHOP,SPORTS,DUMBBELL 5KG,1,NORMAL DAY,NONE,0.0,0,0,161703,COD,NEW,MEDAN,PREORDER,COMPLETED,4,N,NO,LOW,VALID
26/04/2024,04-28-2024,BLIBLI,BEAUTY,SUNSCREEN,4,PAYDAY SALE,DISC15,15.0,36425,18000,206411,TRANSFER BANK,VIP,BEKASI,PREORDER,COMPLETED,4,YES,NO,LOW,VALID
2024/10/03,2024/03/31,SHOPEE,ELECTRONICS,WIRELESS EARBUDS,4,NORMAL DAY,NONE,0.0,0,12000,0,VIRTUAL ACCOUNT,RETURNING,BANDUNG,IN STOCK,CANCEL,5,NO,NO,LOW,VALID
2024-11-12,11-18-2024,LAZADA,ELECTRONICS,POWER BANK,3,FLASH SALE,DISC10,10.0,141478,9000,0,COD,RETURNING,MAKASSAR,LOW STOCK,RETURNED,3,NORMAL,NO,LOW,VALID
10-22-2024,2024-10-23,SHOPEE,BEAUTY,SKINCARE SERUM,1,NORMAL DAY,NONE,0.0,0,0,92374,VIRTUAL ACCOUNT,NEW,BEKASI,PREORDER,COMPLETED,3,N,NO,LOW,VALID
24/06/2024,2024-06-30,BLIBLI,BEAUTY,SKINCARE SERUM,1,CLEARANCE,CLEAR30,30.0,74919,18000,174810,E-WALLET,RETURNING,MEDAN,IN STOCK,COMPLETED,5,N,NO,LOW,VALID
02-18-2024,2024-02-19,SHOPEE,BEAUTY,LIP TINT,1,CLEARANCE,CLEAR30,30.0,67872,15000,158369,TRANSFER BANK,RETURNING,JAKARTA,PREORDER,COMPLETED,5,NO,NO,LOW,VALID
2024/06/28,07-06-2024,LAZADA,ELECTRONICS,POWER BANK,1,MEGA CAMPAIGN,DISC20,20.0,40633,15000,162533,COD,RETURNING,SEMARANG,IN STOCK,COMPLETED,4,YES,NO,LOW,VALID
05/10/2024,06/10/2024,TOKOPEDIA,HOME LIVING,VACUUM CLEANER,1,FLASH SALE,DISC10,10.0,114585,18000,1031262,VIRTUAL ACCOUNT,NEW,BEKASI,LOW STOCK,COMPLETED,4,NORMAL,YES,HIGH,VALID
05-16-2024,05-21-2024,TOKOPEDIA,SPORTS,DUMBBELL 5KG,2,PAYDAY SALE,DISC15,15.0,21081,20000,119461,TRANSFER BANK,NEW,BANDUNG,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
19/03/2024,03-21-2024,SHOPEE,BEAUTY,LIP TINT,6,MEGA CAMPAIGN,DISC20,20.0,240655,20000,962621,CREDIT CARD,RETURNING,BANDUNG,IN STOCK,COMPLETED,4,PRIORITY,NO,MEDIUM,VALID
2024-04-09,2024/03/31,TIKTOK SHOP,ELECTRONICS,SMARTWATCH,3,PAYDAY SALE,DISC15,15.0,342574,9000,1941251,TRANSFER BANK,RETURNING,YOGYAKARTA,IN STOCK,COMPLETED,4,NO,YES,HIGH,VALID
05/09/2024,09-12-2024,SHOPEE,HOME LIVING,STORAGE BOX,1,FLASH SALE,DISC10,10.0,57051,20000,513456,CREDIT CARD,RETURNING,BANDUNG,LOW STOCK,COMPLETED,5,NO,NO,MEDIUM,VALID
08/02/2024,10/02/2024,LAZADA,HOME LIVING,RICE COOKER,2,FLASH SALE,DISC10,10.0,206356,15000,1857208,COD,NEW,SEMARANG,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
05-27-2024,31/05/2024,SHOPEE,SPORTS,SKIPPING ROPE,4,PAYDAY SALE,DISC15,15.0,49406,18000,279970,TRANSFER BANK,RETURNING,BEKASI,IN STOCK,COMPLETED,4,N,NO,LOW,VALID
10-05-2024,2024-10-08,SHOPEE,FASHION,HOODIE,5,CLEARANCE,CLEAR30,30.0,252058,15000,588137,CREDIT CARD,RETURNING,BANDUNG,IN STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
04-11-2024,2024/03/31,SHOPEE,BEAUTY,SKINCARE SERUM,8,PAYDAY SALE,NONE,15.0,RP 145.650,9000,0,BANK TRANSFER,RETURNING,BANDUNG,IN STOCK,CANCEL,5,N,NO,LOW,VALID
03-15-2024,03-23-2024,BLIBLI,BEAUTY,SKINCARE SERUM,1,MEGA CAMPAIGN,DISC20,20.0,56194,12000,224777,TRANSFER BANK,NEW,MEDAN,PREORDER,COMPLETED,3,N,NO,LOW,VALID
09-17-2024,23/09/2024,TOKOPEDIA,SPORTS,RUNNING SHOES,1,NORMAL DAY,NONE,0.0,0,25000,728796,COD,NEW,JAKARTA,LOW STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
30/04/2024,02/05/2024,TOKOPEDIA,BEAUTY,SUNSCREEN,3,PAYDAY SALE,DISC15,15.0,13875,20000,78627,TRANSFER BANK,RETURNING,BEKASI,IN STOCK,COMPLETED,3,N,NO,LOW,VALID
08-11-2024,08-13-2024,TOKOPEDIA,FASHION,SNEAKERS,2,NORMAL DAY,NONE,0.0,0,9000,457224,E-WALLET,NEW,YOGYAKARTA,PREORDER,COMPLETED,3,NORMAL,NO,LOW,VALID
2024/03/29,2024/04/02,TOKOPEDIA,HOME LIVING,TABLE LAMP,4,MEGA CAMPAIGN,DISC20,20.0,88380,20000,353520,E-WALLET,VIP,JAKARTA,LOW STOCK,COMPLETED,4,PRIORITY,NO,LOW,VALID
13/03/2024,17/03/2024,BLIBLI,SPORTS,SKIPPING ROPE,5,MEGA CAMPAIGN,DISC20,20.0,RP 593.372,12000,2373488,VIRTUAL ACCOUNT,NEW,BEKASI,IN STOCK,COMPLETED,3,N,YES,HIGH,VALID
25/07/2024,26/07/2024,SHOPEE,FASHION,MEN T-SHIRT,5,CLEARANCE,CLEAR30,30.0,543746,25000,1268739,CREDIT CARD,VIP,SEMARANG,IN STOCK,COMPLETED,5,PRIORITY,YES,HIGH,VALID
2024-08-21,22/08/2024,TOKOPEDIA,HOME LIVING,TABLE LAMP,1,CLEARANCE,CLEAR30,30.0,344497,18000,803825,TRANSFER BANK,NEW,MAKASSAR,IN STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
09-20-2024,09-29-2024,SHOPEE,FASHION,JEANS,2,MEGA CAMPAIGN,DISC20,20.0,199306,18000,797222,CREDIT CARD,RETURNING,BEKASI,IN STOCK,COMPLETED,5,YES,NO,MEDIUM,VALID
2024-12-09,2024-12-12,TIKTOK SHOP,HOME LIVING,TABLE LAMP,3,NORMAL DAY,NONE,0.0,RP 0,15000,987813,COD,NEW,SURABAYA,LOW STOCK,COMPLETED,3,NORMAL,NO,MEDIUM,VALID
2024-04-10,2024-04-14,LAZADA,FASHION,WOMEN DRESS,5,PAYDAY SALE,NONE,15.0,321107,20000,1819608,COD,NEW,BEKASI,IN STOCK,COMPLETED,3,NORMAL,YES,HIGH,VALID
21/07/2024,2024-07-23,LAZADA,HOME LIVING,STORAGE BOX,1,PAYDAY SALE,DISC15,15.0,28564,12000,161863,CREDIT CARD,RETURNING,JAKARTA,LOW STOCK,COMPLETED,4,NORMAL,NO,LOW,VALID
2024-04-11,2024-04-14,TIKTOK SHOP,BEAUTY,SKINCARE SERUM,4,FLASH SALE,DISC10,10.0,60836,15000,547524,CREDIT CARD,RETURNING,MAKASSAR,IN STOCK,COMPLETED,5,NORMAL,NO,MEDIUM,VALID
10-04-2024,2024/10/10,TOKOPEDIA,ELECTRONICS,WIRELESS EARBUDS,1,CLEARANCE,CLEAR30,30.0,290644,9000,678170,VIRTUAL ACCOUNT,RETURNING,YOGYAKARTA,IN STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
11-04-2024,2024-11-05,LAZADA,BEAUTY,BODY LOTION,4,NORMAL DAY,NONE,0.0,0,20000,1160572,COD,RETURNING,YOGYAKARTA,IN STOCK,SHIPPED,5,NO,YES,HIGH,VALID
2024-11-16,2024-11-21,LAZADA,SPORTS,CYCLING GLOVES,5,NORMAL DAY,NONE,0.0,0,15000,1936415,COD,NEW,BANDUNG,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
2024/04/02,2024/04/05,BLIBLI,ELECTRONICS,BLUETOOTH SPEAKER,1,FLASH SALE,DISC10,10.0,189661,12000,1706952,CREDIT CARD,RETURNING,SURABAYA,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
03/12/2024,2024/03/31,SHOPEE,SPORTS,DUMBBELL 5KG,1,MEGA CAMPAIGN,DISC20,20.0,79477,9000,317906,CREDIT CARD,VIP,SURABAYA,PREORDER,ON DELIVERY,5,YES,NO,LOW,VALID
2024-05-04,05-05-2024,SHOPEE,HOME LIVING,RICE COOKER,2,CLEARANCE,CLEAR30,30.0,442832,25000,1033276,TRANSFER BANK,NEW,YOGYAKARTA,IN STOCK,COMPLETED,3,NORMAL,YES,HIGH,VALID
21/02/2024,02-25-2024,BLIBLI,ELECTRONICS,PHONE CHARGER,8,FLASH SALE,NONE,0.0,237200,18000,2134800,CREDIT CARD,RETURNING,YOGYAKARTA,IN STOCK,COMPLETED,5,N,YES,HIGH,VALID
04-18-2024,2024-04-24,LAZADA,SPORTS,CYCLING GLOVES,2,NORMAL DAY,NONE,0.0,0,18000,1218816,CREDIT CARD,NEW,BANDUNG,PREORDER,COMPLETED,4,NO,YES,HIGH,VALID
05-26-2024,2024/05/27,SHOPEE,HOME LIVING,VACUUM CLEANER,4,CLEARANCE,CLEAR30,30.0,391966,9000,914586,CREDIT CARD,RETURNING,BANDUNG,LOW STOCK,COMPLETED,4,N,NO,MEDIUM,VALID
22/04/2024,04-25-2024,SHOPEE,SPORTS,DUMBBELL 5KG,3,NORMAL DAY,NONE,0.0,0,15000,2376330,COD,NEW,MAKASSAR,IN STOCK,COMPLETED,4,NORMAL,YES,HIGH,VALID
12-08-2024,12-13-2024,SHOPEE,HOME LIVING,VACUUM CLEANER,1,NORMAL DAY,NONE,0.0,0,15000,59923,E-WALLET,RETURNING,SURABAYA,IN STOCK,COMPLETED,3,N,NO,LOW,VALID
20/03/2024,23/03/2024,TIKTOK SHOP,BEAUTY,BODY LOTION,1,FLASH SALE,DISC10,10.0,23200,18000,208796,TRANSFER BANK,NEW,MEDAN,LOW STOCK,COMPLETED,4,NORMAL,NO,LOW,VALID
2024/01/16,2024/01/21,TOKOPEDIA,FASHION,HOODIE,1,NORMAL DAY,NONE,0.0,0,15000,403580,COD,NEW,BEKASI,IN STOCK,COMPLETED,4,NO,NO,LOW,VALID
08-24-2024,27/08/2024,BLIBLI,HOME LIVING,TABLE LAMP,2,NORMAL DAY,NONE,0.0,0,9000,1635564,VIRTUAL ACCOUNT,NEW,BANDUNG,LOW STOCK,COMPLETED,3,NO,YES,HIGH,VALID
05/12/2024,2024/03/31,TIKTOK SHOP,SPORTS,RUNNING SHOES,5,PAYDAY SALE,DISC15,15.0,521492,18000,0,TRANSFER BANK,NEW,YOGYAKARTA,IN STOCK,CANCELLED,5,NORMAL,NO,LOW,INVALID
2024-11-12,2024-11-17,TIKTOK SHOP,ELECTRONICS,BLUETOOTH SPEAKER,2,MEGA CAMPAIGN,DISC20,20.0,260148,9000,1040590,E-WALLET,RETURNING,SURABAYA,IN STOCK,COMPLETED,4,N,YES,HIGH,VALID
2024/06/26,30/06/2024,TIKTOK SHOP,BEAUTY,SKINCARE SERUM,5,CLEARANCE,CLEAR30,30.0,362684,9000,846261,VA,RETURNING,SEMARANG,IN STOCK,COMPLETED,5,N,NO,MEDIUM,VALID
10/12/2024,12-14-2024,TIKTOK SHOP,BEAUTY,FACE WASH,4,NORMAL DAY,NONE,0.0,0,15000,1244696,TRANSFER BANK,RETURNING,SURABAYA,LOW STOCK,COMPLETED,4,NO,YES,HIGH,VALID
04/05/2024,05-10-2024,BLIBLI,FASHION,SNEAKERS,3,PAYDAY SALE,DISC15,15.0,216343,0,1225943,VIRTUAL ACCOUNT,NEW,SEMARANG,IN STOCK,COMPLETED,4,NO,YES,HIGH,VALID
2024/05/14,2024-05-16,LAZADA,FASHION,SNEAKERS,1,PAYDAY SALE,DISC15,15.0,64464,15000,365298,VIRTUAL ACCOUNT,RETURNING,SURABAYA,IN STOCK,COMPLETED,3,N,NO,LOW,VALID
2024/03/03,03-07-2024,BLIBLI,ELECTRONICS,BLUETOOTH SPEAKER,6,PAYDAY SALE,DISC15,15.0,263150,15000,1491184,CREDIT CARD,VIP,SURABAYA,LOW STOCK,SHIPPED,5,NO,YES,HIGH,VALID
2024-06-01,2024/06/06,TIKTOK SHOP,BEAUTY,FACE WASH,1,NORMAL DAY,NONE,0.0,0,18000,94610,COD,NEW,MEDAN,LOW STOCK,SHIPPED,5,NO,NO,LOW,VALID
2024-01-18,2024/03/31,SHOPEE,ELECTRONICS,POWER BANK,2,MEGA CAMPAIGN,NONE,0.0,697459,20000,0,COD,RETURNING,YOGYAKARTA,IN STOCK,CANCEL,5,Y,NO,LOW,VALID
10-16-2024,2024-10-23,LAZADA,HOME LIVING,RICE COOKER,2,MEGA CAMPAIGN,DISC20,20.0,369805,9000,1479221,COD,NEW,MAKASSAR,LOW STOCK,ON DELIVERY,5,YES,YES,HIGH,VALID
2024-07-22,28/07/2024,BLIBLI,BEAUTY,FACE WASH,3,NORMAL DAY,NONE,0.0,0,25000,92481,COD,NEW,SURABAYA,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
24/05/2024,31/05/2024,SHOPEE,FASHION,MEN T-SHIRT,3,FLASH SALE,DISC10,10.0,RP 90.876,18000,817887,CREDIT CARD,VIP,BANDUNG,PREORDER,COMPLETED,5,Y,NO,MEDIUM,VALID
2024/07/15,2024/07/17,TIKTOK SHOP,SPORTS,CYCLING GLOVES,2,NORMAL DAY,NONE,0.0,0,9000,1377876,E-WALLET,NEW,MAKASSAR,IN STOCK,COMPLETED,4,NO,YES,HIGH,VALID
01-15-2024,2024/01/21,BLIBLI,FASHION,SNEAKERS,2,CLEARANCE,CLEAR30,30.0,56662,9000,132212,VIRTUAL ACCOUNT,NEW,MEDAN,LOW STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
2024/11/26,2024/03/31,LAZADA,SPORTS,YOGA MAT,1,MEGA CAMPAIGN,DISC20,20.0,72858,20000,0,TRANSFER BANK,RETURNING,YOGYAKARTA,IN STOCK,BATAL,5,PRIORITY,NO,LOW,VALID
2024/06/02,03/06/2024,LAZADA,BEAUTY,BODY LOTION,3,NORMAL DAY,NONE,0.0,0,9000,716631,COD,RETURNING,SEMARANG,LOW STOCK,COMPLETED,5,NORMAL,NO,MEDIUM,VALID
2024/02/25,29/02/2024,LAZADA,FASHION,WOMEN DRESS,2,NORMAL DAY,NONE,0.0,0,18000,1192308,COD,VIP,SURABAYA,PREORDER,COMPLETED,5,PRIORITY,YES,HIGH,VALID
